               product  ARIMA_MAPE  ARIMA_SMAPE  NBEATS_MAPE  NBEATS_SMAPE
              Cabbages    1.100377     1.091416     0.641483      0.638813
               Oranges    0.856122     0.858197     0.664226      0.669463
                 Wheat    1.827539     1.846296     0.797541      0.793919
                Grapes    2.069486     2.056721     2.045482      2.030513
          Maize (corn)    2.570466     2.519483     2.907548      2.887381
              Tomatoes    3.477756     3.417473     2.997219      2.949905
Cucumbers and gherkins    2.562454     2.524535     3.635502      3.562919
                Apples    1.024687     1.030400     6.881760      7.128132
           Cocoa beans    7.303027     6.956230     7.752475      7.331793
              Cherries    8.357051     8.795032     7.979783      8.331646
           Cranberries   16.025158    17.547155     9.537639     10.217681
